fase,grados,ambito,cobertura_sendero,ampliacion_0_4_0,pendiente,pagina_impresa_fuente_2025
3,1-2,Numeros,Parcial,Valor posicional y comparacion,Ampliar rangos y representaciones; sucesion oral; escritura y recta numerica,45
3,1-2,Relaciones aditivas,Parcial,Conserva reunir quitar completar comparar,Algoritmos con reagrupacion y explicaciones abiertas,45
3,2,Relaciones multiplicativas,Parcial,Conserva grupos repartos y tablas,Material manipulable y argumentacion sobre operaciones inversas,46
3,1-2,Geometria corporal y plana,Ausente,Ninguna,Construir clasificar y representar con objetos tangram y reticulas,46-47
3,1-2,Medicion,Parcial,Conserva cantidades enteras,Comparacion experimental de longitud masa capacidad y calendario,47
4,3-4,Numeros y fracciones,Parcial,Equivalencia de fracciones y sumas de decimos,Ampliar denominadores operaciones representaciones y rangos,48-49
4,3-4,Multiplicacion y division,Parcial,Conserva agrupamiento y reparto,Algoritmos de varias cifras y residuos,50
4,3-4,Geometria,Ausente,Ninguna,Construccion de prismas triangulos cuadrilateros y clasificacion,50
4,3-4,Medicion y perimetro area,Parcial,Relacion decimetro centimetro,Medicion fisica area en reticulas reloj y conversiones amplias,51
4,3-4,Datos,Parcial,Conserva seleccion de categorias,Construir e interpretar tablas pictogramas barras y moda,51
5,5-6,Numeros y operaciones,Parcial,Equivalencia fraccionaria y sumas de decimos,Operaciones generales con fracciones y decimales; rangos amplios,49-50
5,5-6,Proporcionalidad,Ausente,Ninguna,Razones valor unitario y porcentajes contextualizados,50
5,5-6,Geometria y ubicacion,Ausente,Ninguna,Desarrollos planos circulos croquis coordenadas y volumen,50-51
5,5-6,Medicion area y perimetro,Parcial,Conserva rectangulos y conversion elemental,Poligonos compuestos unidades cuadradas y medidas amplias,51
5,5-6,Datos y probabilidad,Parcial,Ninguna adicional,Graficas frecuencias moda media mediana rango y experimentos aleatorios,52
